a	b	c	d	e	f
0.0809	0.5752	0.8025	0.4605	0.4335	0.1717
0.6333	0.9842	0.6749	0.9613	0.4911	0.6104
0.2415	0.3103	0.3221	0.6575	0.9890	0.8870
0.3444	0.5889	0.8568	0.0965	0.0115	0.6929
0.5146	0.1068	0.9421	0.2827	0.8101	0.4631
0.0975	0.1728	0.1482	0.2743	0.8025	0.0093
0.5975	0.6688	0.1589	0.6234	0.2392	0.4877
0.9982	0.6669	0.6981	0.7154	0.8732	0.6338
0.7862	0.8039	0.1161	0.9812	0.0481	0.0539
0.7007	0.4761	0.7480	0.4795	0.3715	0.4075
0.4361	0.8559	0.1543	0.7235	0.8482	0.8623
0.1782	0.0704	0.1591	0.6815	0.5404	0.7098
0.8345	0.0563	0.3703	0.2373	0.8038	0.4608
0.0303	0.2963	0.8790	0.7057	0.5742	0.2113
0.2053	0.3263	0.7991	0.8232	0.6988	0.5070
0.9357	0.2035	0.4750	0.9811	0.7587	0.3083
0.0154	0.3445	0.5236	0.6982	0.4860	0.9689
0.1017	0.9264	0.1757	0.2691	0.2496	0.0591
0.3583	0.4247	0.4702	0.5547	0.1104	0.8896
0.0727	0.6423	0.2957	0.6273	0.0739	0.6998
0.3214	0.1328	0.5883	0.4804	0.5916	0.9485
0.4849	0.4374	0.2562	0.7403	0.8413	0.6778
0.7438	0.6019	0.1624	0.0888	0.2538	0.3199
0.3494	0.0221	0.3958	0.9279	0.9774	0.2360
0.2282	0.2427	0.8725	0.9545	0.2574	0.8235
0.1417	0.3318	0.3917	0.1909	0.4250	0.9673
0.2471	0.3201	0.9791	0.6041	0.6174	0.6965
0.3875	0.6993	0.8484	0.2482	0.9211	0.1679
0.4859	0.5850	0.3506	0.4855	0.0717	0.3866
0.9558	0.2642	0.6723	0.8411	0.4956	0.8846
0.4770	0.4874	0.5157	0.3243	0.0885	0.0454
0.9019	0.7564	0.4239	0.0931	0.4499	0.1232
0.1182	0.1974	0.1606	0.7864	0.0939	0.1178
0.2935	0.6288	0.3534	0.4360	0.0678	0.9720
0.8504	0.7509	0.5231	0.2818	0.4758	0.8966
0.9740	0.4688	0.1931	0.3599	0.8621	0.3462
0.3134	0.7015	0.5741	0.3746	0.9013	0.7187
0.9914	0.6602	0.6453	0.8730	0.5356	0.4789
0.9568	0.0683	0.2097	0.5865	0.0286	0.7756
0.3844	0.7427	0.4933	0.2288	0.6870	0.2125
0.7794	0.5513	0.4934	0.2890	0.3258	0.2240
0.9615	0.8815	0.2494	0.8911	0.8532	0.9846
0.5816	0.6560	0.2380	0.9527	0.7113	0.4052
